import time: self [us] | cumulative | imported package
import time:       190 |        190 |         combat_tracker_flow_mixin
import time:       170 |        170 |         combat_tracker_npc_mixin
import time:       158 |        158 |         combat_tracker_utils_mixin
import time:       484 |       1947 |       combat_tracker
import time:       102 |        102 |                 autogen.doc_utils
import time:       328 |        430 |               autogen.agentchat.agent
import time:       235 |        235 |                   autogen.llm_config.client
import time:       721 |        721 |                               pydantic_core._pydantic_core
import time:       608 |        608 |                                   _decimal
import time:       159 |        766 |                                 decimal
import time:      8345 |       9111 |                               pydantic_core.core_schema
import time:       593 |      10424 |                             pydantic_core
import time:       218 |      10642 |                           pydantic.version
import time:       282 |      10923 |                         pydantic.warnings
import time:       293 |      11216 |                       pydantic._migration
import time:       131 |        131 |                           typing_inspection
import time:      1153 |       1153 |                           typing_inspection.typing_objects
import time:       681 |       1964 |                         typing_inspection.introspection
import time:       105 |        105 |                         pydantic._internal
import time:       353 |        353 |                             pydantic._internal._namespace_utils
import time:       460 |        812 |                           pydantic._internal._typing_extra
import time:       251 |       1063 |                         pydantic._internal._repr
import time:       455 |       3585 |                       pydantic.errors
import time:       327 |      15127 |                     pydantic
import time:        76 |         76 |                         pydantic._internal._internal_dataclass
import time:       858 |        934 |                       pydantic.aliases
import time:       861 |        861 |                       pydantic.config
import time:       310 |       2103 |                     pydantic._internal._config
import time:       272 |        272 |                       pydantic._internal._core_utils
import time:        98 |         98 |                         pydantic._internal._import_utils
import time:       744 |        841 |                       pydantic._internal._utils
import time:      3273 |       4385 |                     pydantic._internal._decorators
import time:      6796 |       6796 |                         pydantic._internal._forward_ref
import time:       342 |       7138 |                       pydantic._internal._generics
import time:       139 |        139 |                       pydantic._internal._docs_extraction
import time:       300 |       7576 |                     pydantic._internal._fields
import time:       342 |        342 |                         pydantic.plugin
import time:       229 |        571 |                       pydantic.plugin._schema_validator
import time:       247 |        817 |                     pydantic._internal._mock_val_ser
import time:       555 |        555 |                         fractions
import time:       260 |        260 |                             sysconfig
import time:       257 |        257 |                             _sysconfigdata__x86_64-linux-gnu
import time:       355 |        872 |                           zoneinfo._tzpath
import time:       110 |        110 |                           zoneinfo._common
import time:       173 |        173 |                           _zoneinfo
import time:       223 |       1376 |                         zoneinfo
import time:       108 |        108 |                         pydantic.annotated_handlers
import time:      2049 |       2049 |                         pydantic.functional_validators
import time:       168 |        168 |                           pydantic._internal._core_metadata
import time:       122 |        122 |                           pydantic._internal._schema_generation_shared
import time:      1259 |       1547 |                         pydantic.json_schema
import time:       197 |        197 |                         pydantic._internal._discriminated_union
import time:       162 |        162 |                         pydantic._internal._known_annotated_metadata
import time:       364 |        364 |                         pydantic._internal._schema_gather
import time:      1019 |       7372 |                       pydantic._internal._generate_schema
import time:       114 |        114 |                       pydantic._internal._signature
import time:       360 |       7846 |                     pydantic._internal._model_construction
import time:      4636 |       4636 |                     annotated_types
import time:       195 |        195 |                     pydantic._internal._validators
import time:      3756 |       3756 |                     pydantic.types
import time:       480 |        480 |                           _csv
import time:       206 |        686 |                         csv
import time:        72 |         72 |                             importlib.metadata._functools
import time:        94 |        166 |                           importlib.metadata._text
import time:       177 |        342 |                         importlib.metadata._adapters
import time:       196 |        196 |                         importlib.metadata._meta
import time:       151 |        151 |                         importlib.metadata._collections
import time:        71 |         71 |                         importlib.metadata._itertools
import time:       815 |       2258 |                       importlib.metadata
import time:       250 |        250 |                       pydantic.type_adapter
import time:       100 |        100 |                       pydantic.plugin._loader
import time:      9771 |      12377 |                     autogen.llm_config.entry
import time:      5038 |       5038 |                                 autogen.llm_clients.models.content_blocks
import time:       963 |        963 |                                 autogen.llm_clients.models.unified_message
import time:      1088 |       1088 |                                 autogen.llm_clients.models.unified_response
import time:       135 |       7223 |                               autogen.llm_clients.models
import time:        22 |       7244 |                             autogen.llm_clients.models.unified_response
import time:       163 |       7407 |                           autogen.llm_clients.client_v2
import time:       104 |        104 |                               packaging
import time:        87 |         87 |                                 packaging._structures
import time:      1797 |       1883 |                               packaging.version
import time:       106 |        106 |                                     autogen.fast_depends.dependencies.model
import time:       101 |        101 |                                     autogen.fast_depends.dependencies.provider
import time:       129 |        336 |                                   autogen.fast_depends.dependencies
import time:       233 |        233 |                                     autogen.fast_depends._compat
import time:       132 |        132 |                                           autogen.fast_depends.library.model
import time:        85 |        216 |                                         autogen.fast_depends.library
import time:       154 |        154 |                                         autogen.fast_depends.utils
import time:       553 |        553 |                                         autogen.fast_depends.core.model
import time:       182 |       1105 |                                       autogen.fast_depends.core.build
import time:        88 |       1193 |                                     autogen.fast_depends.core
import time:       414 |       1838 |                                   autogen.fast_depends.use
import time:       102 |       2275 |                                 autogen.fast_depends
import time:        17 |       2291 |                               autogen.fast_depends.utils
import time:       759 |       5036 |                             autogen.import_utils
import time:      1055 |       1055 |                                     openai._types
import time:       191 |        191 |                                         openai._utils._utils
import time:       132 |        322 |                                       openai._utils._logs
import time:        86 |         86 |                                       openai._utils._sync
import time:       127 |        127 |                                       openai._utils._proxy
import time:       428 |        428 |                                         openai._utils._datetime_parse
import time:        99 |        527 |                                       openai._utils._compat
import time:       104 |        104 |                                       openai._utils._typing
import time:        92 |         92 |                                       openai._utils._streams
import time:       617 |        617 |                                         openai._files
import time:       186 |        802 |                                       openai._utils._transform
import time:       102 |        102 |                                       openai._utils._reflection
import time:       175 |       2332 |                                     openai._utils
import time:       302 |        302 |                                     openai._compat
import time:        97 |         97 |                                     openai._constants
import time:       111 |        111 |                                     pydantic._internal._serializers
import time:      4104 |       8000 |                                   openai._models
import time:       336 |        336 |                                   openai.types.batch_error
import time:       542 |        542 |                                   openai.types.batch_usage
import time:       111 |        111 |                                       openai.types.shared.metadata
import time:       118 |        118 |                                         openai.types.shared.reasoning_effort
import time:       378 |        495 |                                       openai.types.shared.reasoning
import time:       143 |        143 |                                         openai.types.shared.chat_model
import time:       178 |        321 |                                       openai.types.shared.all_models
import time:       308 |        308 |                                       openai.types.shared.error_object
import time:       316 |        316 |                                         openai.types.shared.comparison_filter
import time:       390 |        705 |                                       openai.types.shared.compound_filter
import time:       106 |        106 |                                       openai.types.shared.responses_model
import time:        80 |         80 |                                         openai.types.shared.function_parameters
import time:       345 |        424 |                                       openai.types.shared.function_definition
import time:       241 |        241 |                                       openai.types.shared.response_format_text
import time:       463 |        463 |                                       openai.types.shared.custom_tool_input_format
import time:       242 |        242 |                                       openai.types.shared.response_format_json_object
import time:       503 |        503 |                                       openai.types.shared.response_format_json_schema
import time:       234 |        234 |                                       openai.types.shared.response_format_text_python
